reporter_area_label,year,value,value_millions
Democratic Republic of the Congo,2011,197.0,0.197
Costa Rica,1995,924.0,0.924
Costa Rica,1996,940.0,0.94
Costa Rica,1997,1013.0,1.013
Costa Rica,1998,1167.0,1.167
Costa Rica,1999,1267.0,1.267
Costa Rica,2000,1278.0,1.278
Costa Rica,2001,1320.0,1.32
Costa Rica,2002,1335.0,1.335
Costa Rica,2003,1514.0,1.514
Costa Rica,2004,1771.0,1.771
Costa Rica,2005,1959.0,1.959
Costa Rica,2006,2071.0,2.071
Costa Rica,2007,2302.0,2.302
Costa Rica,2008,2409.0,2.409
Costa Rica,2009,2309.0,2.309
Costa Rica,2010,2495.0,2.495
Costa Rica,2011,2526.0,2.526
Costa Rica,2012,2542.0,2.542
Costa Rica,2013,2641.0,2.641
Costa Rica,2014,2760.0,2.76
Costa Rica,2015,2899.0,2.899
Costa Rica,2016,3204.0,3.204
Costa Rica,2017,3231.0,3.231
Costa Rica,2018,3313.0,3.313
Costa Rica,2019,3378.3,3.3783000000000003
Costa Rica,2020,1146.546,1.146546
Costa Rica,2021,1375.793,1.3757929999999998
Costa Rica,2022,2555.904,2.555904
Costa Rica,2023,3092.779,3.092779
Costa Rica,2024,3220.646,3.2206460000000003
Croatia,1995,16100.0,16.1
Croatia,1996,19085.0,19.085
Croatia,1997,23660.0,23.66
Croatia,1998,25499.0,25.499
Croatia,1999,29215.0,29.215
Croatia,2000,37226.0,37.226
Croatia,2001,40129.0,40.129
Croatia,2002,41737.0,41.737
Croatia,2003,42857.0,42.857
Croatia,2004,44974.0,44.974
Croatia,2005,45762.0,45.762
Croatia,2006,47733.0,47.733
Croatia,2007,52271.0,52.271
Croatia,2008,51336.0,51.336
Croatia,2009,47573.0,47.573
Croatia,2010,49006.0,49.006
Croatia,2011,49969.0,49.969
Croatia,2012,47185.0,47.185
Croatia,2013,48345.0,48.345
Croatia,2014,51168.0,51.168
Croatia,2015,55858.0,55.858
Croatia,2016,57587.0,57.587
Croatia,2017,59238.0,59.238
Croatia,2018,57668.0,57.668
Croatia,2019,60021.0,60.021
Croatia,2020,21608.0,21.608
Croatia,2021,34123.0,34.123
Croatia,2022,50023.0,50.023
Cuba,1995,745.0,0.745
Cuba,1996,1004.0,1.004
Cuba,1997,1170.0,1.17
Cuba,1998,1416.0,1.416
Cuba,1999,1603.0,1.603
Cuba,2000,1774.0,1.774
Cuba,2001,1775.0,1.775
Cuba,2002,1686.0,1.686
Cuba,2003,1906.0,1.906
Cuba,2004,2049.0,2.049
Cuba,2005,2319.0,2.319
Cuba,2006,2221.0,2.221
Cuba,2007,2152.0,2.152
Cuba,2008,2348.0,2.348
Cuba,2009,2430.0,2.43
Cuba,2010,2532.0,2.532
